Team|Group|Matches|Wins|Draws|Losses|Points|wins_match
Uruguay|Group A|5|3|0|0|9|0,6
Croatia|Group D|7|3|0|0|9|0,428571429
Belgium|Group G|7|3|0|0|9|0,428571429
Mexico|Group F|4|2|0|1|6|0,5
Colombia|Group H|4|2|0|1|6|0,5
Sweden|Group F|5|2|0|1|6|0,4
Brazil|Group E|5|2|1|0|7|0,4
Russia|Group A|5|2|0|1|6|0,4
England|Group G|7|2|0|1|6|0,285714286
France|Group C|7|2|1|0|7|0,285714286
Germany|Group F|3|1|0|2|3|0,333333333
Saudi Arabia|Group A|3|1|0|2|3|0,333333333
Poland|Group H|3|1|0|2|3|0,333333333
Peru|Group C|3|1|0|2|3|0,333333333
Serbia|Group E|3|1|0|2|3|0,333333333
Iran|Group B|3|1|1|1|4|0,333333333
Nigeria|Group D|3|1|0|2|3|0,333333333
Denmark|Group C|4|1|2|0|5|0,25
Korea Republic|Group F|3|1|0|2|3|0,333333333
Senegal|Group H|3|1|1|1|4|0,333333333
Tunisia|Group G|3|1|0|2|3|0,333333333
Switzerland|Group E|4|1|2|0|5|0,25
Portugal|Group B|4|1|2|0|5|0,25
Argentina|Group D|4|1|1|1|4|0,25
Japan|Group H|4|1|1|1|4|0,25
Spain|Group B|4|1|2|0|5|0,25
Australia|Group C|3|0|1|2|1|0
Panama|Group G|3|0|0|3|0|0
Morocco|Group B|3|0|1|2|1|0
Costa Rica|Group E|3|0|1|2|1|0
Egypt|Group A|3|0|0|3|0|0
Iceland|Group D|3|0|1|2|1|0
